Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
39,CA-2024-10129,2024-03-10,2024-03-13,Standard Class,CUS-EE-10005,Adrian Barton,Corporate,Miami,Florida,United States,64379,South,TEC-PH-10001215,Technology,Phones,Motorola Edge Plus 5G,5940.0,12,0.1,118.8
40,CA-2022-10375,2022-07-01,2022-07-03,Standard Class,CUS-TT-10020,Roy Collins,Corporate,New York City,New York,United States,91156,East,OFF-FA-10004848,Office Supplies,Fasteners,Advantus Map Pins Pack,18.0,3,0.0,4.32
41,CA-2021-20055,2021-01-06,2021-01-10,Same Day,CUS-CC-10003,Raymond Buch,Consumer,Nashville,Tennessee,United States,41679,South,OFF-AR-10000246,Office Supplies,Art,Avery Color Pen Set,6.0,1,0.0,1.8
42,CA-2023-20249,2023-10-26,2023-10-30,Standard Class,CUS-II-10009,Bill Eplett,Home Office,San Diego,California,United States,17575,West,TEC-MA-10000418,Technology,Machines,Cisco SPA 501G IP Phone,213.0,1,0.0,38.34
43,CA-2021-20057,2021-06-15,2021-06-16,Second Class,CUS-ZB-10027,Sarah Johnson,Consumer,San Antonio,Texas,United States,42782,Central,OFF-PA-10002365,Office Supplies,Paper,Hammermill CopyPlus Paper Ream,333.0,9,0.0,79.92
44,CA-2024-20067,2024-04-26,2024-04-30,Standard Class,CUS-UU-10021,Alan Shonely,Consumer,Chicago,Illinois,United States,19160,Central,OFF-FA-10000304,Office Supplies,Fasteners,Staple Holder Set,37.8,9,0.3,0.76
45,CA-2024-20049,2024-12-05,2024-12-11,Second Class,CUS-SS-10019,Brad Thomas,Home Office,Milwaukee,Wisconsin,United States,24014,Central,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,1320.0,6,0.0,237.6
46,CA-2021-20100,2021-03-28,2021-03-29,First Class,CUS-HH-10008,Hunter Lopez,Consumer,Chicago,Illinois,United States,45278,Central,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,440.0,2,0.0,79.2
47,CA-2022-10006,2022-02-10,2022-02-13,Second Class,CUS-AA-10001,Sean Miller,Corporate,Sacramento,California,United States,39871,West,TEC-CO-10003740,Technology,Copiers,Canon PC940 Color Copier,1600.0,2,0.0,384.0
48,CA-2022-20075,2022-09-28,2022-09-30,Standard Class,CUS-JJ-10010,Seth Vernon,Corporate,Dallas,Texas,United States,31747,Central,OFF-PA-10002365,Office Supplies,Paper,Hammermill CopyPlus Paper Ream,259.0,7,0.0,62.16
49,CA-2024-20321,2024-06-08,2024-06-12,Second Class,CUS-ZC-10028,James Wilson,Corporate,San Antonio,Texas,United States,90484,Central,OFF-AR-10000246,Office Supplies,Art,Avery Color Pen Set,43.2,8,0.1,9.5
50,CA-2023-10275,2023-10-24,2023-10-27,Second Class,CUS-KK-10011,Anna Andreadi,Consumer,Los Angeles,California,United States,42208,West,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Chair,1400.0,4,0.0,350.0
51,CA-2023-20302,2023-05-17,2023-05-18,Second Class,CUS-QQ-10017,Mark Hamilton,Consumer,San Francisco,California,United States,21795,West,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Chair,2450.0,7,0.0,612.5
52,CA-2024-10186,2024-05-29,2024-06-03,Standard Class,CUS-GG-10007,Sanjit Chand,Corporate,Columbus,Ohio,United States,97584,Central,OFF-EN-10003611,Office Supplies,Envelopes,Tyvek Side-Opening Envelopes,63.0,7,0.0,13.86
53,CA-2021-20316,2021-04-10,2021-04-14,Standard Class,CUS-ZB-10027,Sarah Johnson,Consumer,Charlotte,North Carolina,United States,84622,South,OFF-LA-10000240,Office Supplies,Labels,Avery 503 Address Labels,54.0,6,0.0,14.04
54,CA-2022-10119,2022-01-12,2022-01-13,Same Day,CUS-EE-10005,Adrian Barton,Corporate,Miami,Florida,United States,16428,South,OFF-AP-10003746,Office Supplies,Appliances,Cuisinart Portable Coffee Maker,792.0,11,0.1,31.68
55,CA-2023-10642,2023-10-07,2023-10-11,Second Class,CUS-QQ-10017,Mark Hamilton,Consumer,Miami,Florida,United States,15771,South,OFF-AR-10000246,Office Supplies,Art,Avery Color Pen Set,42.0,7,0.0,12.6
56,CA-2021-10545,2021-08-05,2021-08-10,Standard Class,CUS-ZY-10050,Edward Young,Home Office,Miami,Florida,United States,69925,South,FUR-FU-10001487,Furniture,Furnishings,Deflecto Superior Image Slanted Sign,148.5,11,0.1,0.74
57,CA-2024-20298,2024-12-02,2024-12-05,Standard Class,CUS-XX-10024,Dean Nguyen,Home Office,Portland,Oregon,United States,59755,West,TEC-PH-10001215,Technology,Phones,Motorola Edge Plus 5G,3850.0,7,0.0,539.0
58,CA-2024-20248,2024-05-22,2024-05-27,Standard Class,CUS-LL-10012,Greg Tran,Consumer,Los Angeles,California,United States,48269,West,TEC-PH-10001215,Technology,Phones,Motorola Edge Plus 5G,3850.0,7,0.0,539.0
59,CA-2021-20128,2021-09-13,2021-09-18,Standard Class,CUS-EE-10005,Adrian Barton,Corporate,San Antonio,Texas,United States,88683,Central,FUR-TA-10001539,Furniture,Tables,Chromcraft Bull-Nose Conference Table,2800.0,2,0.0,112.0
60,CA-2022-20283,2022-12-26,2022-12-28,Standard Class,CUS-OO-10015,Jane Waco,Consumer,Miami,Florida,United States,23838,South,FUR-FU-10003848,Furniture,Furnishings,Howard Miller 11 Diameter Wall Clock,190.0,2,0.0,30.4
61,CA-2023-20043,2023-02-06,2023-02-12,Second Class,CUS-AA-10001,Sean Miller,Corporate,Nashville,Tennessee,United States,59262,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Table,6000.0,6,0.0,300.0
62,CA-2024-10372,2024-03-07,2024-03-11,Standard Class,CUS-SS-10019,Brad Thomas,Home Office,Portland,Oregon,United States,19828,West,OFF-AR-10002399,Office Supplies,Art,Faber-Castell Art Grip Aquarelle,120.0,10,0.0,30.0
63,CA-2022-10038,2022-03-21,2022-03-26,Standard Class,CUS-BB-10002,Tamara Chand,Corporate,Memphis,Tennessee,United States,44600,South,FUR-FU-10000010,Furniture,Furnishings,Eldon Fold N Roll Cart,242.0,11,0.0,29.04
64,CA-2022-20339,2022-01-31,2022-02-04,Standard Class,CUS-ZD-10029,Lisa Davis,Consumer,Louisville,Kentucky,United States,73472,South,TEC-MA-10002412,Technology,Machines,Brother HL-L2350DW Laser Printer,1485.0,9,0.0,297.0
65,CA-2022-10486,2022-04-18,2022-04-20,Second Class,CUS-ZO-10040,Kenneth Garcia,Corporate,Boston,Massachusetts,United States,67047,East,TEC-PH-10000486,Technology,Phones,Apple iPhone 14 Pro,3996.0,4,0.0,319.68
66,CA-2023-10126,2023-07-08,2023-07-11,Second Class,CUS-EE-10005,Adrian Barton,Corporate,Miami,Florida,United States,40647,South,TEC-PH-10001215,Technology,Phones,Motorola Edge Plus 5G,3300.0,6,0.0,462.0
67,CA-2023-10634,2023-10-04,2023-10-07,Second Class,CUS-KK-10011,Anna Andreadi,Consumer,Indianapolis,Indiana,United States,53321,Central,OFF-AP-10000304,Office Supplies,Appliances,Belkin 6 Outlet Surge Protector,120.0,6,0.0,16.8
68,CA-2023-10636,2023-12-11,2023-12-15,Standard Class,CUS-OO-10015,Jane Waco,Consumer,San Francisco,California,United States,84048,West,TEC-AC-10001500,Technology,Accessories,Kensington 7 Port USB Hub,252.0,7,0.0,60.48
69,CA-2023-10299,2023-03-11,2023-03-16,Standard Class,CUS-MM-10013,Lycoris Saunders,Corporate,Denver,Colorado,United States,62198,West,TEC-CO-10001449,Technology,Copiers,HP LaserJet Pro 3310,6000.0,6,0.0,1560.0
70,CA-2021-20187,2021-05-15,2021-05-19,First Class,CUS-ZB-10027,Sarah Johnson,Consumer,Milwaukee,Wisconsin,United States,78995,Central,TEC-AC-10000171,Technology,Accessories,Plantronics Savi Wireless Headset,1317.6,9,0.2,79.06
71,CA-2021-10270,2021-04-07,2021-04-08,First Class,CUS-KK-10011,Anna Andreadi,Consumer,Los Angeles,California,United States,12009,West,OFF-EN-10001509,Office Supplies,Envelopes,Staple Envelope Pack,5.0,5,0.5,0.03
72,CA-2023-20247,2023-01-11,2023-01-15,First Class,CUS-PP-10016,Dave Brooks,Corporate,Austin,Texas,United States,18625,Central,OFF-PA-10004675,Office Supplies,Paper,Southworth 25 Cotton Business Paper,64.8,6,0.1,7.78
73,CA-2021-10602,2021-10-21,2021-10-25,Standard Class,CUS-QQ-10017,Mark Hamilton,Consumer,Dallas,Texas,United States,54798,Central,FUR-FU-10000010,Furniture,Furnishings,Eldon Fold N Roll Cart,110.0,5,0.0,13.2
74,CA-2023-20031,2023-06-21,2023-06-27,Standard Class,CUS-KK-10011,Anna Andreadi,Consumer,Columbus,Ohio,United States,98392,Central,FUR-TA-10001539,Furniture,Tables,Chromcraft Bull-Nose Conference Table,14000.0,10,0.0,560.0
75,CA-2024-10291,2024-11-26,2024-11-27,Standard Class,CUS-LL-10012,Greg Tran,Consumer,Las Vegas,Nevada,United States,93086,West,FUR-FU-10000010,Furniture,Furnishings,Eldon Fold N Roll Cart,138.6,7,0.1,0.69
76,CA-2021-20035,2021-03-26,2021-03-31,Second Class,CUS-HH-10008,Hunter Lopez,Consumer,Seattle,Washington,United States,40490,West,OFF-BI-10001661,Office Supplies,Binders,GBC DocuBind P400 Electric Binding,4500.0,10,0.0,855.0
77,CA-2022-10426,2022-09-12,2022-09-13,Same Day,CUS-XX-10024,Dean Nguyen,Home Office,Dallas,Texas,United States,84978,Central,OFF-PA-10002365,Office Supplies,Paper,Hammermill CopyPlus Paper Ream,444.0,12,0.0,106.56
78,CA-2023-20060,2023-01-11,2023-01-12,Second Class,CUS-TT-10020,Roy Collins,Corporate,Milwaukee,Wisconsin,United States,98291,Central,OFF-BI-10000340,Office Supplies,Binders,Avery Durable Slant Binders,21.0,7,0.0,4.62
79,CA-2024-20132,2024-07-13,2024-07-19,Second Class,CUS-ZD-10029,Lisa Davis,Consumer,Jacksonville,Florida,United States,90859,South,OFF-EN-10003611,Office Supplies,Envelopes,Tyvek Side-Opening Envelopes,18.0,2,0.0,3.96
80,CA-2021-10482,2021-09-29,2021-10-04,Standard Class,CUS-ZO-10040,Kenneth Garcia,Corporate,Boston,Massachusetts,United States,41502,East,TEC-AC-10000171,Technology,Accessories,Plantronics Savi Wireless Headset,2013.0,11,0.0,442.86
81,CA-2022-10509,2022-06-15,2022-06-20,Standard Class,CUS-ZS-10044,Kevin Rodriguez,Corporate,Louisville,Kentucky,United States,84732,South,TEC-MA-10004947,Technology,Machines,Zebra GX420t Thermal Label Printer,1900.0,5,0.0,418.0
82,CA-2024-20152,2024-11-25,2024-11-26,Standard Class,CUS-KK-10011,Anna Andreadi,Consumer,Atlanta,Georgia,United States,66792,South,FUR-TA-10004919,Furniture,Tables,Lesro Sheffield Coffee Table,400.0,2,0.2,4.0
83,CA-2024-20271,2024-07-03,2024-07-07,First Class,CUS-XX-10024,Dean Nguyen,Home Office,San Antonio,Texas,United States,38699,Central,OFF-PA-10004675,Office Supplies,Paper,Southworth 25 Cotton Business Paper,60.0,5,0.0,12.0
84,CA-2024-10317,2024-10-29,2024-10-31,Standard Class,CUS-NN-10014,Helen Andreada,Home Office,Portland,Oregon,United States,58929,West,OFF-AR-10000246,Office Supplies,Art,Avery Color Pen Set,30.0,5,0.0,9.0
85,CA-2021-10574,2021-11-18,2021-11-24,Standard Class,CUS-II-10009,Bill Eplett,Home Office,San Francisco,California,United States,52425,West,OFF-EN-10003611,Office Supplies,Envelopes,Tyvek Side-Opening Envelopes,13.5,3,0.5,-1.22
86,CA-2023-10260,2023-08-24,2023-08-27,Standard Class,CUS-JJ-10010,Seth Vernon,Corporate,Phoenix,Arizona,United States,12050,West,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,2420.0,11,0.0,435.6
87,CA-2022-10353,2022-05-13,2022-05-15,Standard Class,CUS-RR-10018,Linda Cazamias,Consumer,Las Vegas,Nevada,United States,13847,West,TEC-MA-10004947,Technology,Machines,Zebra GX420t Thermal Label Printer,684.0,2,0.1,68.4
88,CA-2024-10190,2024-03-30,2024-04-01,First Class,CUS-GG-10007,Sanjit Chand,Corporate,Columbus,Ohio,United States,18270,Central,TEC-PH-10001215,Technology,Phones,Motorola Edge Plus 5G,1320.0,3,0.2,6.6
89,CA-2024-20124,2024-01-17,2024-01-19,Standard Class,CUS-NN-10014,Helen Andreada,Home Office,Las Vegas,Nevada,United States,57763,West,OFF-BI-10000340,Office Supplies,Binders,Avery Durable Slant Binders,18.0,6,0.0,3.96
90,CA-2024-20308,2024-03-25,2024-03-26,Standard Class,CUS-SS-10019,Brad Thomas,Home Office,New York City,New York,United States,85782,East,FUR-TA-10001539,Furniture,Tables,Chromcraft Bull-Nose Conference Table,7000.0,5,0.0,280.0
91,CA-2024-10394,2024-12-08,2024-12-09,Standard Class,CUS-UU-10021,Alan Shonely,Consumer,Memphis,Tennessee,United States,23726,South,FUR-FU-10000010,Furniture,Furnishings,Eldon Fold N Roll Cart,132.0,6,0.0,15.84
92,CA-2021-20018,2021-01-30,2021-02-03,First Class,CUS-JJ-10010,Seth Vernon,Corporate,Denver,Colorado,United States,62225,West,TEC-MA-10000418,Technology,Machines,Cisco SPA 501G IP Phone,298.2,2,0.3,2.98
93,CA-2024-10102,2024-10-10,2024-10-14,Second Class,CUS-DD-10004,Tom Ashbrook,Consumer,Milwaukee,Wisconsin,United States,94896,Central,FUR-CH-10000454,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chair,1176.0,8,0.3,5.88
94,CA-2024-10654,2024-11-08,2024-11-10,Second Class,CUS-MM-10013,Lycoris Saunders,Corporate,Milwaukee,Wisconsin,United States,37294,Central,OFF-PA-10000174,Office Supplies,Paper,Xerox 1881 Copy Paper,112.0,8,0.0,24.64
95,CA-2023-10276,2023-09-13,2023-09-16,Second Class,CUS-KK-10011,Anna Andreadi,Consumer,Los Angeles,California,United States,70401,West,OFF-ST-10001098,Office Supplies,Storage,Fellowes Super Stor File Drawers,495.0,11,0.1,34.65
96,CA-2021-10166,2021-08-19,2021-08-20,Same Day,CUS-GG-10007,Sanjit Chand,Corporate,Columbus,Ohio,United States,69050,Central,OFF-ST-10001098,Office Supplies,Storage,Fellowes Super Stor File Drawers,75.0,3,0.5,0.38
97,CA-2023-20313,2023-03-30,2023-04-01,Standard Class,CUS-UU-10021,Alan Shonely,Consumer,Milwaukee,Wisconsin,United States,43656,Central,TEC-PH-10000486,Technology,Phones,Apple iPhone 14 Pro,7992.0,8,0.0,639.36
98,CA-2024-20081,2024-06-12,2024-06-15,First Class,CUS-XX-10024,Dean Nguyen,Home Office,Phoenix,Arizona,United States,73370,West,TEC-CO-10001449,Technology,Copiers,HP LaserJet Pro 3310,10000.0,10,0.0,2600.0
99,CA-2022-10427,2022-04-08,2022-04-14,Standard Class,CUS-XX-10024,Dean Nguyen,Home Office,Dallas,Texas,United States,32280,Central,FUR-TA-10004919,Furniture,Tables,Lesro Sheffield Coffee Table,1500.0,6,0.0,210.0
100,CA-2023-20314,2023-07-20,2023-07-24,Standard Class,CUS-XX-10024,Dean Nguyen,Home Office,Chicago,Illinois,United States,23492,Central,FUR-BO-10003717,Furniture,Bookcases,Sauder Classic Bookcase,4000.0,8,0.0,800.0
101,CA-2024-10268,2024-10-12,2024-10-16,Second Class,CUS-JJ-10010,Seth Vernon,Corporate,Phoenix,Arizona,United States,68954,West,FUR-FU-10000010,Furniture,Furnishings,Eldon Fold N Roll Cart,132.0,6,0.0,15.84
102,CA-2022-10149,2022-10-17,2022-10-18,Second Class,CUS-FF-10006,Ken Lonsdale,Home Office,Philadelphia,Pennsylvania,United States,59308,East,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,2640.0,12,0.0,475.2
103,CA-2023-10072,2023-10-26,2023-10-27,Same Day,CUS-CC-10003,Raymond Buch,Consumer,Portland,Oregon,United States,94874,West,OFF-PA-10004675,Office Supplies,Paper,Southworth 25 Cotton Business Paper,72.0,6,0.0,14.4
104,CA-2024-10100,2024-04-06,2024-04-10,Second Class,CUS-DD-10004,Tom Ashbrook,Consumer,Milwaukee,Wisconsin,United States,27172,Central,TEC-PH-10000486,Technology,Phones,Apple iPhone 14 Pro,3996.0,4,0.0,319.68
105,CA-2023-10415,2023-02-03,2023-02-08,Standard Class,CUS-WW-10023,Beth Thompson,Corporate,Seattle,Washington,United States,35265,West,OFF-BI-10003656,Office Supplies,Binders,Cardinal Premiere Easy Open Binders,160.0,10,0.0,32.0
106,CA-2022-10229,2022-07-14,2022-07-20,Standard Class,CUS-II-10009,Bill Eplett,Home Office,Louisville,Kentucky,United States,12482,South,FUR-BO-10004709,Furniture,Bookcases,Atlantic Metals Mobile Bookcase,2160.0,12,0.0,324.0
107,CA-2022-20230,2022-11-22,2022-11-25,Second Class,CUS-RR-10018,Linda Cazamias,Consumer,Jacksonville,Florida,United States,98157,South,FUR-FU-10000010,Furniture,Furnishings,Eldon Fold N Roll Cart,22.0,1,0.0,2.64
108,CA-2021-10082,2021-04-09,2021-04-13,Standard Class,CUS-DD-10004,Tom Ashbrook,Consumer,Milwaukee,Wisconsin,United States,57301,Central,OFF-FA-10000304,Office Supplies,Fasteners,Staple Holder Set,24.0,4,0.0,6.24
109,CA-2022-20227,2022-01-11,2022-01-12,Same Day,CUS-YY-10025,Phil Fox,Consumer,New York City,New York,United States,64507,East,OFF-BI-10000340,Office Supplies,Binders,Avery Durable Slant Binders,16.8,8,0.3,0.17
110,CA-2021-20296,2021-09-03,2021-09-09,Second Class,CUS-DD-10004,Tom Ashbrook,Consumer,Houston,Texas,United States,68603,Central,FUR-FU-10001487,Furniture,Furnishings,Deflecto Superior Image Slanted Sign,121.5,9,0.1,2.43
111,CA-2023-20071,2023-01-29,2023-02-04,Standard Class,CUS-BB-10002,Tamara Chand,Corporate,Miami,Florida,United States,55694,South,FUR-TA-10001539,Furniture,Tables,Chromcraft Bull-Nose Conference Table,8960.0,8,0.2,89.6
